State,Year,State-Year,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Adult smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,Primary Care Physicians Rate,Mental Health Provider Rate,% With Annual Mammogram,% Flu Vaccinated,% Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,Life Expectancy,% Adults with Diabetes,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,Median Household Income,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural
Virginia,2020,Virginia2020,"95,342.00","6,375.90",16.61,3.54,4.05,8.10,15.11,30.50,8.80,22.20,82.36,17.68,29.77,10.10,75.47,188.17,43.00,51.00,2.79,13.30,7.70,14.61,79.55,10.70,4.28,17.64,38.56,76471,21.80,15.92,19.12,0.55,6.91,0.12,9.78,61.25,50.79,24.55
Washington,2020,Washington2020,"76,291.00","5,614.14",15.02,3.74,4.02,6.48,12.13,28.60,8.20,16.40,86.21,17.11,32.52,7.49,84.45,399.18,40.00,47.00,4.25,12.00,6.40,17.01,80.42,9.30,5.54,15.92,31.81,78674,21.84,15.89,4.00,1.93,9.56,0.79,13.02,67.51,49.94,15.95
West Virginia,2020,West Virginia2020,"34,689.00","10,785.80",23.59,5.30,5.78,9.48,26.93,37.80,6.90,28.00,59.38,14.42,25.23,7.80,78.25,137.77,39.00,42.00,4.91,20.80,7.80,11.17,74.79,15.10,6.55,49.87,42.52,48659,20.06,20.48,3.50,0.26,0.82,0.03,1.74,91.99,50.46,51.28
Wisconsin,2020,Wisconsin2020,"64,745.00","6,322.81",14.77,3.68,4.04,7.41,17.24,31.70,9.00,20.30,85.24,27.11,35.71,6.51,78.94,212.47,49.00,53.00,3.35,13.50,7.00,14.02,79.46,9.50,4.78,19.83,32.71,64177,21.75,17.47,6.39,1.18,3.01,0.06,7.10,80.88,50.24,29.85
Wyoming,2020,Wyoming2020,"7,052.00","7,235.82",15.26,3.49,3.97,8.94,19.24,29.20,6.70,23.10,76.48,20.05,32.76,12.44,68.20,345.22,36.00,44.00,3.60,11.70,4.20,11.95,78.91,9.00,8.69,12.33,33.80,66152,23.11,17.14,1.13,2.73,1.14,0.10,10.13,83.69,49.08,35.24
Alabama,2019,Alabama2019,"81,791.00","9,942.79",22.03,4.92,4.94,10.25,20.93,35.50,5.80,29.80,61.11,13.90,27.59,11.04,64.82,101.23,40.00,41.00,3.93,23.90,11.00,14.34,75.42,14.20,7.92,16.18,37.72,49881,22.30,16.92,26.50,0.70,1.50,0.11,4.44,65.41,51.63,40.96
Alaska,2019,Alaska2019,"8,336.00","8,048.68",18.08,4.03,3.90,5.86,21.01,32.50,6.30,20.00,100.00,21.29,38.06,14.76,90.97,432.71,35.00,35.00,6.59,14.50,,20.52,78.77,7.90,9.15,17.35,31.89,74912,24.93,11.80,3.37,15.39,6.65,1.39,7.23,60.26,47.85,33.98
Arizona,2019,Arizona2019,"80,394.00","7,074.52",18.56,4.02,4.04,7.19,15.56,27.50,6.60,21.80,85.14,16.71,25.42,12.10,66.46,133.36,41.00,44.00,4.83,20.40,5.80,18.46,79.90,9.70,7.54,21.71,32.79,59079,22.90,17.54,4.38,5.30,3.68,0.28,31.60,54.42,50.29,10.19
Arkansas,2019,Arkansas2019,"48,017.00","9,449.42",23.20,5.15,5.36,8.99,22.29,34.20,5.20,31.60,63.53,15.81,26.32,9.30,66.57,226.29,37.00,45.00,3.70,23.80,10.00,14.32,75.93,13.40,8.74,14.33,34.35,47094,23.33,16.98,15.42,1.00,1.67,0.36,7.74,72.22,50.89,43.84
California,2019,California2019,"347,916.00","5,259.87",17.22,3.53,3.49,6.82,11.34,23.60,8.90,17.60,93.07,19.22,29.63,8.21,79.28,353.26,36.00,41.00,4.20,17.40,9.50,26.86,81.58,8.60,3.29,12.57,34.46,75250,22.73,14.33,5.62,1.65,15.33,0.51,39.29,36.83,50.29,5.05
