State,Year,State-Year,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Adult smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,Primary Care Physicians Rate,Mental Health Provider Rate,% With Annual Mammogram,% Flu Vaccinated,% Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,Life Expectancy,% Adults with Diabetes,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,Median Household Income,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural
Missouri,2016,Missouri2016,"77,369.00","967,231.00",18.35,4.41,4.28,7.65,22.20,32.05,6.82,28.11,52.14,15.83,30.12,16.23,45.49,90.10,58.32,,5.42,25.24,9.69,13.12,,11.48,7.71,19.34,32.46,43272,22.75,18.54,3.66,0.64,0.78,0.13,2.85,90.47,50.12,66.80
Montana,2016,Montana2016,"11,636.00","337,270.50",13.51,3.57,3.44,7.60,17.42,27.17,6.38,24.46,46.89,20.28,46.27,19.14,54.98,143.73,58.09,,4.28,20.88,6.28,13.83,,9.34,17.55,16.70,28.98,45917,21.58,20.65,0.38,8.07,0.52,0.06,2.86,86.45,49.09,75.12
Nebraska,2016,Nebraska2016,"17,459.00","440,529.10",12.64,2.92,2.87,6.35,15.44,31.67,6.84,25.95,47.69,18.40,35.99,12.86,53.78,89.82,59.55,,2.88,16.41,8.04,10.24,,9.83,15.49,7.69,28.39,51382,23.06,20.63,0.82,1.77,0.63,0.08,6.55,89.54,49.83,74.65
Nevada,2016,Nevada2016,"33,512.00","112,169.10",16.00,4.04,4.13,7.87,17.44,27.18,6.91,22.23,52.55,18.06,30.49,16.08,49.11,115.70,52.21,,6.86,19.30,5.82,15.99,,9.09,11.94,23.26,34.05,57020,21.23,19.02,2.56,4.33,2.43,0.32,18.29,70.91,47.47,49.50
New Hampshire,2016,New Hampshire2016,"13,509.00","58,539.70",11.63,3.26,3.64,7.01,15.23,28.17,8.39,20.79,78.39,19.00,31.53,12.22,97.43,263.86,69.55,,3.42,14.20,7.92,16.11,,9.88,3.86,22.59,30.87,61964,18.85,18.54,0.92,0.32,1.94,0.04,2.36,93.11,50.55,55.37
New Jersey,2016,New Jersey2016,"83,427.00","123,207.90",14.69,3.20,3.46,8.08,14.23,26.60,8.16,22.91,91.34,17.65,24.81,11.78,79.01,162.41,61.41,,6.03,15.00,9.59,21.92,,9.50,4.41,16.16,36.91,72657,22.01,15.64,11.59,0.57,7.37,0.10,16.96,62.51,51.06,12.76
New Mexico,2016,New Mexico2016,"25,048.00","311,269.20",20.98,4.35,3.89,9.38,16.51,25.08,5.72,21.58,62.69,13.30,30.80,17.57,60.57,417.08,53.28,,7.24,30.28,6.68,15.76,,9.25,18.02,25.98,31.23,41358,22.42,19.60,1.37,8.79,1.13,0.14,47.33,41.93,49.36,48.42
New York,2016,New York2016,"180,891.00","374,143.50",13.69,3.66,3.80,7.31,16.36,27.52,8.02,23.44,74.56,19.23,25.66,8.51,62.91,178.28,64.20,,5.58,20.95,8.71,17.09,,9.63,4.28,13.21,34.99,55543,20.48,17.08,5.98,0.72,2.99,0.07,7.69,81.30,50.21,44.29
North Carolina,2016,North Carolina2016,"119,253.00","807,870.70",18.87,4.14,3.91,9.19,18.90,31.51,6.84,26.68,65.84,14.85,29.77,16.40,54.41,145.17,67.06,,6.44,27.71,9.01,16.59,,12.33,5.32,16.97,32.68,43289,21.24,18.54,20.30,1.94,1.32,0.11,7.14,68.17,50.80,61.20
North Dakota,2016,North Dakota2016,"6,522.00","288,418.10",13.08,2.94,2.97,6.59,16.92,31.87,7.85,26.44,43.54,21.35,46.82,10.90,56.61,110.20,66.47,,3.25,13.93,7.44,9.00,,10.07,15.15,5.52,29.15,56874,22.70,19.64,0.85,6.83,0.68,0.05,3.03,87.55,48.62,82.56
Ohio,2016,Ohio2016,"148,038.00","673,996.30",15.99,3.84,3.97,7.73,19.33,32.83,7.40,27.54,68.19,17.11,32.35,10.15,52.64,101.17,59.79,,5.31,20.45,11.38,13.30,,12.43,4.99,21.72,35.76,50825,22.75,17.00,4.22,0.29,1.01,0.04,2.64,90.31,50.34,48.22
Oklahoma,2016,Oklahoma2016,"56,593.00","791,850.20",20.20,4.47,4.20,7.95,20.67,34.45,6.54,32.02,46.45,13.00,27.66,19.35,41.73,283.00,52.95,,4.74,23.51,8.99,12.03,,13.03,10.93,22.16,34.36,45543,24.17,17.31,3.59,11.29,0.90,0.14,8.90,70.92,49.80,63.64
Oregon,2016,Oregon2016,"42,540.00","226,621.40",15.91,4.22,4.40,6.44,16.01,28.34,6.73,17.53,73.61,18.49,34.67,12.60,72.83,316.62,59.30,,6.54,24.08,7.02,18.82,,10.49,9.93,13.55,30.00,47635,20.77,20.76,0.75,2.51,1.83,0.31,11.80,80.93,50.00,44.37
Pennsylvania,2016,Pennsylvania2016,"150,021.00","466,915.70",13.85,3.49,3.77,7.58,17.40,31.45,7.89,24.55,73.16,18.51,32.30,10.44,68.51,119.24,64.94,,5.47,19.73,10.37,13.32,,11.28,4.62,20.18,35.31,51611,20.01,18.86,4.44,0.28,1.51,0.04,4.19,88.48,49.99,47.43
Rhode Island,2016,Rhode Island2016,"10,652.00","26,625.00",12.80,3.56,3.88,6.67,14.01,25.38,7.58,20.18,90.50,19.05,34.54,6.92,108.31,282.13,70.09,,5.53,14.60,7.76,17.90,,9.24,7.33,22.09,31.52,65813,19.06,17.96,3.15,0.67,2.58,0.11,7.44,84.60,51.52,11.51
South Carolina,2016,South Carolina2016,"66,746.00","433,143.50",19.10,4.27,4.34,10.62,19.21,35.14,6.58,27.77,57.90,14.92,36.92,16.79,50.26,104.41,66.03,,7.04,30.40,9.71,15.73,,14.37,6.44,14.64,37.03,41436,21.87,17.67,35.51,0.64,0.98,0.09,4.53,57.13,51.01,54.98
South Dakota,2016,South Dakota2016,"8,089.00","388,889.90",13.18,3.24,2.84,6.12,17.73,31.71,6.25,23.71,45.45,17.48,37.13,13.94,55.56,128.48,65.35,,3.65,20.45,7.62,12.23,,10.33,19.57,8.62,26.43,49071,24.91,18.64,0.73,14.03,0.71,0.06,2.92,80.37,49.48,78.17
Tennessee,2016,Tennessee2016,"95,487.00","943,005.40",20.97,4.99,4.67,8.72,22.17,32.69,7.18,32.98,50.13,11.88,30.86,14.71,47.59,66.05,59.88,,6.74,27.47,9.75,14.13,,13.80,5.14,23.18,35.70,42520,21.68,18.24,7.38,0.46,0.75,0.06,3.45,86.67,50.45,66.44
Texas,2016,Texas2016,"265,231.00","1,878,042.30",19.80,3.99,3.52,8.38,15.83,28.70,6.55,25.18,56.18,16.90,25.59,22.77,41.04,48.55,52.88,,4.78,24.68,8.21,14.10,,10.40,10.96,11.44,31.95,48729,24.33,17.22,6.30,1.20,1.21,0.09,34.39,56.52,49.18,55.52
Utah,2016,Utah2016,"21,610.00","174,340.10",13.61,3.59,3.55,7.47,10.00,25.98,6.80,19.41,64.19,12.08,24.36,15.42,51.09,209.71,56.24,,4.76,15.92,6.40,13.89,,8.31,10.89,22.84,30.23,56899,29.64,14.07,0.51,3.36,1.09,0.36,9.07,84.89,49.14,48.35
Vermont,2016,Vermont2016,"6,584.00","82,402.10",11.26,3.24,3.47,6.66,15.33,25.68,7.94,19.93,62.69,18.89,33.53,6.60,88.37,331.18,67.20,,4.21,15.21,7.55,16.78,,8.09,3.39,14.56,29.81,53865,19.25,18.77,0.87,0.49,1.04,0.04,1.71,94.25,50.50,75.37
Virginia,2016,Virginia2016,"84,990.00","1,019,884.00",15.56,3.50,3.42,8.65,17.02,29.41,7.71,24.46,65.12,16.12,30.06,14.03,64.75,129.96,63.95,,5.14,20.86,8.79,14.92,,11.21,5.21,16.23,35.48,54033,20.39,18.13,18.56,0.52,2.19,0.08,5.25,71.74,50.60,52.36
Washington,2016,Washington2016,"66,150.00","238,191.30",15.29,3.87,3.78,6.01,15.47,29.13,7.07,19.83,72.99,18.13,36.38,12.64,68.31,206.89,60.60,,6.82,20.87,6.99,17.90,,10.14,8.97,14.63,30.03,52487,21.64,19.27,1.37,3.03,2.88,0.37,14.11,76.36,49.81,44.79
West Virginia,2016,West Virginia2016,"31,553.00","538,824.00",22.37,4.98,4.78,9.17,23.53,35.44,7.19,30.47,49.91,11.62,31.76,11.00,56.79,69.61,58.30,,7.74,26.68,9.52,10.74,,13.94,5.70,38.32,36.67,40523,20.20,19.43,2.30,0.26,0.51,0.03,1.30,94.39,50.13,69.20
Wisconsin,2016,Wisconsin2016,"57,806.00","450,460.40",13.64,3.49,3.45,6.28,16.99,31.47,7.98,22.12,61.86,22.94,37.29,9.40,66.94,117.65,69.39,,5.12,17.19,9.15,14.33,,9.71,5.67,13.13,29.92,53165,21.50,18.85,1.64,2.95,1.35,0.05,3.67,89.34,49.63,60.11
Wyoming,2016,Wyoming2016,"6,502.00","160,250.70",13.63,3.51,3.39,7.86,16.90,26.73,7.59,22.81,62.56,17.21,33.92,15.03,67.38,246.35,53.43,,4.06,13.31,6.57,11.60,,8.90,7.42,20.27,29.16,59936,23.19,16.59,0.93,2.16,0.88,0.09,8.58,86.41,49.00,50.53
Alabama,2015,Alabama2015,"73,929.00","697,771.20",23.54,4.94,4.79,10.56,20.84,35.44,6.38,31.33,47.37,12.76,31.99,16.57,43.60,46.73,61.06,,7.97,31.21,12.79,15.26,,13.85,7.27,14.48,38.75,38563,22.38,16.94,28.35,0.80,0.73,0.11,3.54,65.39,51.26,67.09
Alaska,2015,Alaska2015,"7,308.00","190,104.90",15.72,3.88,3.24,5.58,23.39,30.76,6.01,22.86,46.30,21.11,46.41,26.62,80.64,321.74,52.63,,10.19,19.19,,27.48,,9.73,15.65,17.58,33.77,60290,24.74,9.98,1.90,33.13,5.99,0.58,4.95,47.48,45.59,74.75
Arizona,2015,Arizona2015,"68,082.00","132,343.80",19.83,4.11,3.95,7.23,17.74,27.44,5.54,23.41,62.97,15.65,26.19,20.73,52.72,84.96,55.40,,9.62,28.86,9.91,20.95,,11.75,14.93,19.17,33.17,43058,23.83,18.98,1.93,14.76,1.45,0.20,30.61,51.30,49.64,34.11
Arkansas,2015,Arkansas2015,"43,697.00","751,563.30",23.01,4.87,4.36,9.20,23.10,34.99,5.76,34.13,45.07,13.72,28.12,19.93,47.73,121.83,55.64,,6.99,30.57,11.75,14.07,,13.15,9.15,13.68,34.98,37578,22.71,18.34,15.91,0.88,0.78,0.11,5.11,75.93,50.54,64.87
California,2015,California2015,"312,628.00","354,891.40",16.18,3.87,3.77,6.32,13.34,24.12,7.11,16.93,81.99,18.13,30.19,18.41,69.91,281.01,60.70,,8.87,22.41,8.80,24.53,,10.09,6.06,17.12,31.31,56049,22.52,15.96,3.05,3.16,7.50,0.39,29.84,55.22,49.52,28.70
Colorado,2015,Colorado2015,"45,082.00","370,898.50",12.87,3.28,3.18,9.54,14.93,20.69,7.13,17.53,70.90,18.01,28.95,19.36,75.81,180.85,57.17,,5.19,20.59,12.66,16.88,,8.09,9.87,16.39,27.21,52402,20.87,17.23,1.55,2.07,1.31,0.12,19.61,75.11,48.05,58.68
Connecticut,2015,Connecticut2015,"31,815.00","42,382.20",11.05,2.80,3.36,7.51,13.70,24.96,7.95,21.45,91.35,19.13,33.61,10.06,73.30,279.40,67.38,,6.44,13.19,10.48,17.11,,8.26,4.53,16.72,32.95,70415,20.59,15.81,6.59,0.50,3.69,0.10,11.19,76.62,50.82,24.17
Delaware,2015,Delaware2015,"10,724.00","22,126.20",14.70,3.50,3.60,8.37,17.60,30.40,7.90,25.93,77.48,16.33,41.31,11.48,65.26,180.36,70.33,,5.88,20.77,11.90,15.93,,11.37,5.41,18.20,36.43,57406,21.75,17.85,19.99,0.80,2.89,0.11,8.53,65.93,51.63,24.29
District of Columbia,2015,District of Columbia2015,"7,213.00","7,782.40",12.70,2.80,3.20,10.21,15.80,22.10,8.00,17.00,100.00,24.90,30.28,7.58,115.86,415.70,66.00,,7.79,28.90,12.65,21.96,,8.30,0.95,14.19,33.70,69992,17.50,11.35,47.44,0.56,4.02,0.15,10.37,35.84,52.56,0.00
Florida,2015,Florida2015,"222,442.00","530,974.60",16.54,3.86,3.96,8.41,17.93,30.01,6.65,27.11,70.87,18.76,33.14,22.89,52.78,88.75,65.30,,6.56,27.25,11.46,18.90,,11.21,8.30,14.88,34.33,44085,19.84,20.36,14.31,0.73,1.70,0.10,13.46,68.50,48.61,37.50
Georgia,2015,Georgia2015,"113,345.00","1,389,470.70",19.42,4.17,4.04,10.15,17.95,31.52,6.34,28.49,55.57,14.57,25.13,21.63,47.36,59.73,59.75,,8.13,32.47,12.83,16.65,,13.01,7.22,14.89,38.41,41210,23.27,15.72,27.80,0.49,1.30,0.12,6.29,63.00,50.30,60.49
Hawaii,2015,Hawaii2015,"12,820.00","23,749.90",14.26,3.16,2.90,7.86,14.06,22.46,7.14,19.80,88.76,20.54,42.20,8.80,66.74,152.79,62.50,,4.75,17.63,,27.34,,10.58,6.76,11.19,39.14,62418,17.64,19.03,1.02,0.44,26.46,18.02,8.93,27.73,50.32,33.26
Idaho,2015,Idaho2015,"15,462.00","277,375.00",14.94,3.75,3.64,6.77,17.11,28.83,6.64,22.40,59.99,15.56,32.21,22.07,53.71,101.27,55.55,,5.36,21.43,10.04,15.85,,9.31,11.37,14.13,31.23,45772,25.37,17.16,0.42,2.03,0.82,0.16,12.60,83.02,49.26,61.47
Illinois,2015,Illinois2015,"130,047.00","734,029.90",14.08,3.54,3.50,7.75,16.09,30.95,7.50,26.33,61.50,20.28,33.21,12.09,47.51,111.80,64.10,,7.07,20.15,12.61,12.01,,9.85,6.33,15.01,31.76,50953,21.80,17.81,5.12,0.36,1.23,0.04,4.82,87.39,49.93,51.09
Indiana,2015,Indiana2015,"80,099.00","725,007.40",16.21,3.73,3.91,7.63,20.27,31.81,7.58,29.62,60.52,15.80,23.25,15.95,51.25,77.41,59.75,,6.04,19.92,13.54,12.37,,10.49,4.33,18.06,34.83,49449,23.38,16.14,2.72,0.35,0.99,0.05,3.83,91.00,50.20,54.45
Iowa,2015,Iowa2015,"31,027.00","611,615.40",12.34,2.98,2.93,6.52,16.73,31.72,7.89,27.23,62.08,19.32,23.50,10.37,57.63,69.92,65.88,,4.42,16.22,10.80,10.77,,9.89,5.85,10.12,27.77,51707,22.98,18.93,1.31,0.46,1.13,0.09,4.45,91.73,50.14,61.32
Kansas,2015,Kansas2015,"30,173.00","707,874.90",14.00,3.16,3.01,6.98,16.94,32.28,6.97,27.77,53.85,15.82,36.39,15.65,60.26,105.46,60.65,,3.99,18.12,10.59,10.52,,10.69,12.49,14.60,29.90,48843,23.83,18.79,1.91,1.23,0.92,0.08,9.55,84.99,49.74,66.89
Kentucky,2015,Kentucky2015,"64,590.00","1,181,774.80",22.44,4.94,4.27,9.29,24.16,33.80,7.04,31.41,53.39,11.66,28.69,18.28,46.95,113.94,54.88,,7.60,30.18,13.42,13.74,,12.82,4.13,29.08,38.42,39687,22.65,16.29,3.74,0.29,0.57,0.06,2.33,91.85,50.25,71.65
Louisiana,2015,Louisiana2015,"64,870.00","615,939.10",22.45,4.39,4.13,11.04,23.33,36.45,6.57,32.37,54.73,17.48,33.79,19.72,43.38,65.64,58.14,,7.26,30.25,10.95,14.05,,12.09,9.62,16.04,36.00,41706,23.98,14.63,31.75,0.84,0.94,0.05,3.38,61.91,49.94,51.09
Maine,2015,Maine2015,"15,532.00","104,983.80",13.03,3.55,3.83,6.48,17.14,28.81,7.41,22.78,59.33,18.33,35.11,14.51,99.18,329.43,68.63,,6.30,21.37,10.24,15.60,,9.73,3.24,13.40,31.74,45570,19.12,19.83,0.93,0.87,0.89,0.03,1.37,94.53,50.88,74.19
Maryland,2015,Maryland2015,"60,259.00","161,016.10",13.36,3.15,3.43,8.30,14.95,30.13,8.04,24.97,79.87,16.98,35.63,11.37,70.13,168.32,65.04,,6.44,16.57,12.48,16.27,,10.37,3.93,17.12,35.85,67270,21.77,16.02,19.99,0.45,3.41,0.10,5.69,68.65,50.87,34.60
Massachusetts,2015,Massachusetts2015,"58,787.00","72,911.60",13.06,3.37,3.87,7.23,15.03,23.16,8.22,20.67,89.58,20.33,27.56,4.63,97.49,497.02,73.14,,6.15,15.59,10.40,19.63,,9.56,4.63,16.76,34.04,65329,19.75,16.60,5.70,0.52,4.05,0.09,9.14,79.11,51.43,16.75
Michigan,2015,Michigan2015,"117,956.00","577,362.80",13.72,3.57,3.75,7.30,17.76,32.36,7.26,23.74,72.61,19.63,33.68,14.05,61.69,136.52,67.59,,8.09,23.82,11.65,15.19,,10.83,5.41,14.93,32.38,44946,20.43,19.73,3.92,1.69,1.04,0.04,3.39,88.30,49.67,61.64
Minnesota,2015,Minnesota2015,"45,114.00","495,691.60",11.44,2.81,2.83,5.88,16.07,28.70,8.07,23.02,60.50,20.93,34.77,10.08,69.96,106.86,66.07,,4.68,15.78,12.29,12.57,,8.92,7.89,11.07,27.17,54521,23.04,18.37,1.48,2.23,1.48,0.07,4.15,89.36,49.88,61.34
Mississippi,2015,Mississippi2015,"46,238.00","886,601.90",22.66,4.26,4.09,12.41,20.89,36.84,5.13,35.06,43.26,12.94,23.67,20.94,41.95,75.65,55.65,,9.29,35.04,12.16,16.49,,13.76,10.17,14.37,36.31,35659,23.98,15.45,40.89,0.68,0.57,0.05,2.43,54.60,51.01,70.63
Missouri,2015,Missouri2015,"75,652.00","964,616.40",17.59,4.26,3.92,7.58,21.21,32.58,6.81,29.74,52.14,15.09,31.68,17.53,46.24,87.42,58.30,,6.45,25.92,10.18,12.97,,11.22,7.71,18.43,32.46,41523,22.81,18.25,3.62,0.62,0.74,0.12,2.75,90.72,50.11,66.80
Montana,2015,Montana2015,"11,584.00","362,170.70",13.71,3.67,3.37,7.62,18.13,26.84,6.38,26.10,46.89,19.17,45.59,23.02,61.01,136.86,59.07,,4.74,21.43,10.90,13.64,,9.97,17.55,16.55,28.98,44112,21.61,20.11,0.36,8.00,0.49,0.05,2.68,86.79,49.17,75.12
Nebraska,2015,Nebraska2015,"17,034.00","436,990.10",12.83,2.91,2.78,6.48,16.09,31.11,6.82,28.24,47.69,19.47,38.02,15.30,55.45,86.68,59.21,,3.19,17.33,11.70,10.18,,10.08,15.49,8.65,28.39,49536,23.09,20.29,0.82,1.73,0.59,0.08,6.33,89.85,49.82,74.65
Nevada,2015,Nevada2015,"32,617.00","123,855.10",16.93,3.96,3.76,7.82,17.61,26.78,6.76,22.63,52.55,18.96,32.46,21.80,49.88,106.35,51.57,,7.55,19.49,12.16,15.74,,10.54,11.94,22.07,34.05,54787,21.48,18.41,2.58,4.26,2.27,0.31,17.90,71.58,47.41,49.50
New Hampshire,2015,New Hampshire2015,"13,092.00","57,086.40",11.99,3.18,3.46,6.82,16.76,27.56,8.40,21.21,78.39,18.86,31.63,14.09,96.73,251.45,69.40,,4.24,15.00,10.46,16.33,,9.34,3.86,17.29,30.87,60127,19.13,17.94,0.93,0.32,1.89,0.04,2.27,93.26,50.56,55.37
New Jersey,2015,New Jersey2015,"82,618.00","123,898.00",14.52,3.25,3.41,8.17,15.17,25.63,8.11,24.10,91.34,17.93,26.77,14.18,78.85,146.52,60.81,,7.05,15.47,11.24,21.91,,9.75,4.41,15.03,36.91,72135,22.25,15.26,11.57,0.57,7.17,0.09,16.67,63.06,51.06,12.76
New Mexico,2015,New Mexico2015,"24,267.00","289,537.00",20.23,4.29,3.82,9.31,17.81,25.28,5.83,23.62,62.69,14.28,31.14,22.37,61.60,394.02,54.31,,7.10,30.38,9.92,15.94,,12.32,18.02,25.56,31.23,40621,22.56,18.97,1.31,8.69,1.11,0.14,47.01,42.38,49.37,48.42
New York,2015,New York2015,"179,333.00","376,053.90",13.09,3.41,3.56,7.32,15.07,27.34,7.92,24.16,74.56,18.59,26.04,10.82,62.89,167.55,63.98,,6.30,21.25,11.62,17.13,,9.18,4.28,11.66,34.99,54318,20.69,16.65,5.96,0.71,2.90,0.07,7.53,81.61,50.21,44.29
North Carolina,2015,North Carolina2015,"116,049.00","805,863.00",18.83,4.00,3.88,9.21,19.46,31.02,6.67,27.66,65.84,14.23,30.09,19.24,54.60,137.51,67.72,,6.88,28.23,12.37,16.42,,11.81,5.32,16.07,32.68,42130,21.46,18.04,20.31,1.93,1.26,0.10,7.01,68.39,50.82,61.20
North Dakota,2015,North Dakota2015,"6,399.00","300,061.30",12.72,2.73,2.68,6.52,17.98,31.53,7.92,29.52,43.54,21.30,47.56,14.54,56.58,107.96,66.73,,3.48,15.21,10.04,9.14,,9.61,15.15,6.27,29.15,55239,22.49,19.64,0.72,6.79,0.59,0.04,2.74,88.12,48.69,82.56
Ohio,2015,Ohio2015,"144,932.00","671,511.80",16.05,3.79,4.05,7.80,19.72,32.07,7.24,28.75,68.19,17.35,33.90,13.17,52.94,92.34,58.84,,6.09,21.98,13.49,13.26,,11.41,4.99,18.95,35.76,48443,22.90,16.60,4.19,0.28,0.97,0.04,2.56,90.51,50.38,48.22
Oklahoma,2015,Oklahoma2015,"55,342.00","761,791.90",20.43,4.52,4.34,7.99,20.74,34.10,6.49,33.25,46.45,12.61,29.64,21.86,41.59,270.20,52.77,,4.82,23.86,10.24,12.04,,12.37,10.93,22.55,34.36,43819,24.11,17.07,3.56,11.18,0.85,0.13,8.61,71.41,49.84,63.64
Oregon,2015,Oregon2015,"41,347.00","222,814.80",14.49,4.04,4.01,6.30,15.99,27.78,6.74,18.33,73.61,19.44,29.26,18.74,74.44,258.86,59.66,,7.98,24.89,9.02,18.66,,10.58,9.93,12.74,30.00,45943,20.91,20.21,0.73,2.48,1.77,0.30,11.57,81.28,50.04,44.37
Pennsylvania,2015,Pennsylvania2015,"148,241.00","466,201.30",14.63,3.64,3.94,7.57,19.25,30.97,7.76,25.57,73.16,17.45,33.33,11.99,69.36,111.33,63.84,,6.01,19.72,12.82,13.28,,10.75,4.62,17.94,35.31,50093,20.16,18.46,4.39,0.27,1.46,0.04,4.03,88.79,50.03,47.43
Rhode Island,2015,Rhode Island2015,"10,427.00","26,114.60",11.22,3.14,3.44,6.82,14.24,24.44,7.46,21.92,90.50,21.40,38.69,11.51,107.56,268.19,70.00,,7.10,14.68,10.25,17.95,,8.76,7.33,19.67,31.52,63471,19.30,17.51,3.09,0.65,2.52,0.11,7.14,85.07,51.53,11.51
South Carolina,2015,South Carolina2015,"64,590.00","432,396.80",20.02,4.20,4.13,10.73,20.44,34.90,6.53,28.15,57.90,14.48,39.53,19.01,50.43,97.07,65.30,,7.59,31.97,12.58,15.67,,13.56,6.44,14.22,37.03,40297,22.01,17.07,35.64,0.63,0.94,0.09,4.46,57.17,50.93,54.98
South Dakota,2015,South Dakota2015,"8,060.00","422,565.50",13.01,3.11,2.72,6.17,18.14,31.85,6.27,26.76,45.45,17.57,34.54,14.83,58.58,128.41,65.44,,4.00,21.12,11.08,12.21,,10.17,19.57,6.64,26.43,47572,24.94,18.28,0.73,14.02,0.63,0.05,2.80,80.60,49.48,78.17
Tennessee,2015,Tennessee2015,"92,774.00","939,524.00",22.39,4.80,4.68,8.83,23.36,32.94,6.97,35.68,50.13,11.51,31.31,16.73,48.34,64.89,59.12,,7.73,27.85,13.75,14.20,,12.32,5.14,22.27,35.70,40645,21.81,17.83,7.34,0.45,0.73,0.06,3.35,86.88,50.46,66.44
Texas,2015,Texas2015,"256,541.00","1,857,586.10",19.34,3.63,3.20,8.47,15.55,30.16,6.38,28.01,56.18,16.70,26.24,25.96,41.10,46.47,53.02,,4.94,25.17,9.47,14.14,,12.22,10.96,11.44,31.95,46935,24.33,17.01,6.28,1.17,1.16,0.08,33.93,57.11,49.19,55.52
Utah,2015,Utah2015,"20,927.00","175,317.60",12.70,3.54,3.39,7.18,10.13,25.66,6.77,20.97,64.19,11.38,23.88,16.70,51.30,194.70,53.88,,4.65,16.09,11.54,14.06,,8.18,10.89,23.03,30.23,55322,29.90,13.75,0.51,3.30,1.04,0.36,8.88,85.20,49.13,48.35
Vermont,2015,Vermont2015,"6,549.00","82,306.30",10.74,3.21,3.44,6.55,15.66,25.54,7.99,20.39,62.69,19.91,36.94,9.49,89.68,313.50,66.71,,4.63,17.11,10.76,16.60,,8.10,3.39,13.73,29.81,51034,19.50,18.12,0.83,0.47,0.98,0.04,1.65,94.45,50.47,75.37
Virginia,2015,Virginia2015,"83,194.00","1,034,856.60",16.12,3.55,3.36,8.76,18.51,29.70,7.75,25.49,65.33,15.73,30.91,15.53,64.97,124.01,62.83,,5.96,21.13,12.60,14.65,,10.81,5.21,15.79,35.48,52826,20.56,17.65,18.55,0.51,2.11,0.08,5.11,72.03,50.63,51.99
Washington,2015,Washington2015,"64,228.00","244,934.90",15.50,3.82,3.72,5.99,14.93,29.25,6.98,21.05,72.99,18.76,36.04,18.52,68.98,192.94,61.10,,7.69,22.36,10.90,17.52,,10.16,8.97,14.39,30.03,50873,21.87,18.72,1.36,3.01,2.79,0.34,13.81,76.80,49.85,44.79
West Virginia,2015,West Virginia2015,"31,056.00","539,824.80",22.28,4.90,4.70,9.16,24.19,35.11,7.27,33.37,49.91,11.06,34.31,17.99,57.97,63.93,57.55,,7.38,26.70,13.25,10.56,,12.76,5.70,36.56,36.67,39392,20.18,18.88,2.30,0.25,0.49,0.03,1.26,94.50,50.12,69.20
Wisconsin,2015,Wisconsin2015,"56,884.00","447,860.80",13.04,3.41,3.44,6.21,16.43,30.63,7.89,23.22,61.86,23.60,38.39,11.37,69.57,109.10,68.90,,6.09,18.52,11.58,14.34,,9.93,5.67,12.62,29.92,50889,21.65,18.36,1.61,2.95,1.30,0.05,3.55,89.57,49.65,60.11
Wyoming,2015,Wyoming2015,"6,316.00","156,332.50",13.02,3.20,3.19,8.06,17.18,25.93,7.60,23.83,62.56,17.31,35.44,16.71,65.12,226.88,54.32,,4.28,14.21,11.21,11.69,,8.59,7.42,19.74,29.16,57194,23.01,16.12,1.04,2.13,0.83,0.09,8.44,86.56,49.03,50.53
Alabama,2014,Alabama2014,"72,385.00","694,327.92",23.28,4.66,4.44,10.58,22.43,35.29,6.44,31.79,48.88,11.68,29.89,16.49,42.86,43.65,60.65,,7.67,32.55,12.79,15.13,,14.48,7.27,12.18,,38019,22.56,16.49,28.28,0.79,0.72,0.11,3.47,65.60,51.24,67.09
Alaska,2014,Alaska2014,"7,121.00","197,364.04",14.96,3.43,2.60,5.53,27.37,30.50,6.10,22.67,72.18,21.27,52.25,27.93,78.97,290.66,55.05,,9.34,18.50,,27.69,,7.16,15.65,14.61,,58423,25.16,9.60,1.57,33.27,5.74,0.57,4.72,48.03,45.57,74.75
Arizona,2014,Arizona2014,"66,101.00","130,103.60",18.25,3.96,3.89,7.27,18.49,27.95,5.59,22.89,61.58,15.44,25.36,22.14,51.77,82.37,54.98,,11.34,30.80,9.91,20.61,,10.46,14.93,14.69,,42311,24.13,18.39,1.83,14.72,1.42,0.20,30.33,51.74,49.61,34.11
Arkansas,2014,Arkansas2014,"42,589.00","748,534.06",22.17,4.53,4.28,9.28,24.43,34.14,5.97,32.82,52.03,12.39,29.67,20.63,47.29,115.66,54.74,,8.46,33.20,11.75,13.99,,12.75,9.15,12.96,,36518,22.93,17.88,15.88,0.86,0.76,0.10,5.01,76.15,50.58,64.87
California,2014,California2014,"306,186.00","361,626.97",18.17,3.91,3.84,6.27,14.97,23.90,7.03,17.12,83.56,18.77,30.53,18.84,68.42,266.32,60.87,,10.34,23.57,8.80,24.72,,8.42,6.06,15.62,,54235,22.81,15.41,3.04,3.14,7.33,0.39,29.53,55.77,49.42,28.70
